"Qualite" "Type" "AcidVol" "AcidCitr" "SO2lbr" "SO2tot" "Densite" "Alcool"
"5624" "medium" 0 0.28 0.27 50 147 0.99126 11.6
"5323" "good" 0 0.265 0.28 46 150 0.99299 10.8
"2730" "medium" 0 0.2 0.28 36 159 0.9936 9.1
"1783" "medium" 0 0.27 0.4 64 227 0.9979 9.6
"1579" "medium" 1 0.67 0.15 13 20 0.9954 11.3
"3397" "good" 0 0.25 0.27 37 128 0.9936 11.3
"3685" "medium" 0 0.17 0.32 47 150 0.9948 9.6
"5180" "medium" 0 0.3 0.21 33 143 0.99244 11.1
"1741" "medium" 0 0.37 0.67 49 155 0.9975 8.7
"5219" "medium" 0 0.45 0.28 27 122 1.00295 10.6
"5103" "good" 0 0.33 0.31 21 93 0.9896 13.4
"997" "good" 1 0.66 0 3 11 0.99378 12.8
"1451" "good" 1 0.37 0.32 15 28 0.9947 11.3
"2102" "medium" 0 0.3 0.3 8 210 0.9937 9.9
"309" "medium" 1 0.43 0.44 5 12 0.9994 9.5
"3508" "good" 0 0.36 0.36 26 98 0.9914 12.5
"4429" "medium" 0 0.26 0.32 31 170 0.99644 11.2
"2320" "medium" 0 0.29 0.44 62 178 0.99685 8.9
"4943" "good" 0 0.36 0.28 51 189 0.99782 9.5
"1236" "bad" 1 0.33 0.32 6 113 0.99572 11.5
"5285" "medium" 0 0.15 0.41 79.5 183 0.99742 10.2
"1622" "good" 0 0.26 0.42 41 122 0.993 10.5
"2865" "good" 0 0.31 0.34 36 174 0.9963 11.1
"254" "medium" 1 0.775 0.42 8 86 0.9959 9.5
"581" "medium" 1 0.5 0.49 5 14 1.0002 9.6
"4635" "good" 0 0.24 0.33 31 85 0.99014 11.3
"198" "medium" 1 0.3 0.6 12 27 0.9981 10.1
"5257" "good" 0 0.15 0.47 49 128 0.99456 10.5
"5006" "medium" 0 0.32 0.33 25 95 0.99268 11.1
"2363" "medium" 0 0.44 0.04 38 128 0.9985 10.2
"922" "medium" 1 0.36 0.32 32 79 0.9964 11
"399" "medium" 1 0.59 0.59 13 49 0.9988 11
"3948" "medium" 0 0.26 0.31 14 141 0.99077 12.2
"2198" "good" 0 0.27 0.29 31 115 0.9949 10.5
"5393" "medium" 0 0.32 0.26 63 170 0.9961 9.9
"4609" "medium" 0 0.2 0.5 50 221 0.99941 8.8
"5299" "medium" 0 0.3 0.37 27 177 0.99438 9.8
"2598" "medium" 0 0.24 0.3 43 184 0.9997 9.2
"1214" "medium" 1 0.38 0.42 5 13 0.99659 10.5
"5875" "medium" 0 0.22 0.2 41 113 0.99862 8.9
"3626" "medium" 0 0.26 0.4 5 60 0.9925 10.1
"4087" "medium" 0 0.27 0.27 25 122 0.99088 11.9
"783" "medium" 1 0.82 0.05 26 96 0.99814 10
"1482" "medium" 1 0.28 0.6 10 22 0.99828 10.6
"290" "medium" 1 0.42 0.53 33 98 1.001 9.2
"5956" "medium" 0 0.29 0.29 35 178 0.99313 10.53333333
"3011" "medium" 0 0.2 0.34 32 83 0.9928 11.5
"2293" "medium" 0 0.37 0.14 34 185 0.9944 9.8
"6176" "medium" 0 0.3 0.29 23 56 0.9904 11.3
"3871" "medium" 0 0.25 0.26 50 156 0.99784 9.9
"5478" "medium" 0 0.35 0.31 58 170 0.99692 9.4
"1123" "medium" 1 0.47 0 27 33 0.9922 12.3
"319" "good" 1 0.66 0.39 21 59 0.9989 11.5
"2469" "medium" 0 0.24 0.29 37 97 0.9926 10.1
"4151" "medium" 0 0.26 0.42 62 209 0.99544 9.5
"2395" "medium" 0 0.31 0.26 37 157 0.99625 9
"4073" "medium" 0 0.29 0.21 20 142 0.99658 10.1
"2072" "medium" 0 0.24 0.29 19 86 0.99 12.5
"1762" "medium" 0 0.36 0.3 14 85 0.9932 10.6
"1775" "medium" 0 0.23 0.4 50 151 0.9927 11.4
"3325" "medium" 0 0.17 0.22 55 152 0.9952 9.3
"1560" "medium" 1 0.6 0.26 31 131 0.99622 9.9
"3769" "good" 0 0.19 0.3 48.5 229 0.9986 9.1
"5755" "medium" 0 0.3 0.47 50 187 0.9927 9.5
"4011" "medium" 0 0.27 0.25 50 208 1.00051 9.2
"6389" "medium" 0 0.62 0.33 24 118 0.98758 13.55
"4958" "medium" 0 0.36 0.28 29 81 0.99151 12.5
"3523" "medium" 0 0.37 0.27 10 59 0.9923 10.4
"1452" "good" 1 0.32 0.44 8 17 0.99732 11
"4576" "medium" 0 0.32 0.39 34 124 0.99286 12.1
"5182" "medium" 0 0.32 0.32 12 76 0.98993 12.3
"1179" "medium" 1 0.915 0 17 78 0.99346 11.4
"1059" "good" 1 0.53 0.57 30 52 0.9971 11.6
"6467" "medium" 0 0.6 0.34 3 60 0.98854 13
"369" "medium" 1 0.34 0.52 15 75 0.9998 9.4
"5795" "good" 0 0.45 0.24 24 87 0.98862 13.4
"1836" "medium" 0 0.23 0.38 55 194 0.9979 9
"1684" "medium" 0 0.43 0.61 54 155 0.9974 8.7
"1737" "medium" 0 0.37 0.67 49 155 0.9975 8.7
"988" "medium" 1 0.36 0.3 35 70 0.99693 9.4
"5853" "bad" 0 0.47 0.1 11 74 0.99082 11.2
"1201" "medium" 1 0.57 0.21 4 9 0.99458 9.8
"866" "medium" 1 0.635 0.07 16 86 0.99748 9.7
"110" "medium" 1 0.785 0.52 37 153 0.9969 9.3
"775" "medium" 1 0.4 0.3 2 45 0.99727 9.5
"5303" "medium" 0 0.24 0.31 26 180 0.99884 9.1
"1938" "medium" 0 0.26 0.4 12 139 0.9945 10.4
"1283" "medium" 1 0.765 0 9 22 0.99619 10.9
"5636" "medium" 0 0.33 0.22 40 177 0.99287 9.9
"1474" "medium" 1 0.6 0.08 14 45 0.99336 11
"3236" "medium" 0 0.49 0.49 29 149 0.9952 10
"2262" "bad" 0 0.57 0.1 23 188 0.9972 9.2
"2881" "good" 0 0.27 0.34 26 168 0.9911 12.1
"892" "medium" 1 0.66 0.03 16 86 0.99743 9.7
"2032" "good" 0 0.155 0.34 73.5 214 0.9934 9.9
"129" "good" 1 0.59 0.16 3 16 0.9962 10.5
"6375" "medium" 0 0.27 0.4 42 124 0.99204 10.1
"1044" "good" 1 0.39 0.41 18 39 0.99859 10.9
"540" "medium" 1 0.5 0.74 5 17 0.9996 11.2
"3219" "good" 0 0.22 0.49 31 128 0.9928 11.3
"3183" "medium" 0 0.18 0.74 54 168 0.9978 10.1
"1895" "medium" 0 0.33 0.27 34 175 0.9934 9.4
"2631" "medium" 0 0.34 0.29 45 232 0.9955 10
"1354" "medium" 1 0.645 0.03 14 57 0.9969 10.3
"655" "medium" 1 0.47 0.47 7 29 0.9979 9.5
"4963" "medium" 0 0.22 0.28 47 90 0.98862 12.6
"3040" "medium" 0 0.26 0.74 56 162 0.998 8.8
"4729" "medium" 0 0.21 0.38 37 122 0.98972 12
"6286" "bad" 0 0.63 0.04 25 133 0.99271 10.2
"5823" "bad" 0 0.43 0.11 6 51 0.99076 11.2
"4224" "medium" 0 0.21 0.37 20 80 0.99076 12
"729" "medium" 1 0.57 0.02 4 11 0.997 9.5
"719" "medium" 1 0.56 0.04 10 22 0.9976 9.6
"5217" "medium" 0 0.29 0.33 20 117 0.99048 11.4
"3569" "good" 0 0.41 0.3 49 164 0.9927 11.7
"1447" "medium" 1 0.63 0.02 18 30 0.99712 9.8
"1394" "medium" 1 0.52 0.25 19 59 0.99612 10.2
"4794" "medium" 0 0.16 0.32 7 89 0.99111 11
"1664" "medium" 0 0.24 0.27 31 122 0.9927 10.3
"501" "medium" 1 0.52 0.25 14 38 0.9984 9
"3668" "medium" 0 0.32 0.18 26 104 0.9906 11
"3098" "medium" 0 0.27 0.49 23 86 0.9914 12.5
"1080" "good" 1 0.3 0.68 37.5 278 0.99316 12.3
"2266" "medium" 0 0.22 0.37 38 195 0.9908 12.5
"186" "medium" 1 0.31 0.57 26 85 0.9971 9.7
"5841" "medium" 0 0.27 0.29 62 140 0.99237 11.1
"3375" "medium" 0 0.49 1 28 135 0.9973 12
"1111" "medium" 1 0.53 0 6 14 0.99593 10
"430" "medium" 1 0.84 0.63 13 35 0.9997 10.4
"677" "medium" 1 0.4 0.41 7 17 0.9984 9.3
"3973" "bad" 0 0.48 0.37 5 57 0.99256 10.4
"6471" "medium" 0 0.2 0.4 20 98 0.9897 12.05
"1021" "medium" 1 0.36 0.66 3 8 0.99642 11.9
"3674" "medium" 0 0.22 0.28 51 180 0.9952 9.5
"6203" "medium" 0 0.33 0.18 40 124 0.99114 11
"2762" "good" 0 0.25 0.41 29 151 0.9946 10.2
"572" "medium" 1 0.36 0.24 19 42 0.9946 11.7
"5960" "medium" 0 0.28 0.35 31 148 0.99178 10.7
"970" "medium" 1 0.56 0.09 7 22 0.99669 10.2
"460" "bad" 1 0.58 0.66 10 47 1.0008 9
"4630" "good" 0 0.47 0.29 22 142 0.99518 12
"5655" "medium" 0 0.3 0.27 22 97 0.99314 11.7
"5365" "medium" 0 0.4 0.17 59 186 0.99754 9.4
"2020" "good" 0 0.22 0.31 41 136 0.9898 12.7
"3275" "medium" 0 0.27 0.32 65 224 0.9961 8.9
"5150" "medium" 0 0.14 0.32 48 116 0.99218 10
"3265" "good" 0 0.13 0.37 48 114 0.9911 11.5
"3328" "medium" 0 0.3 0.24 35 116 0.9953 9.4
"3925" "medium" 0 0.35 0.17 7 119 0.99297 9.7
"1265" "medium" 1 0.37 0.32 26 51 0.99456 11.8
"768" "medium" 1 0.6 0.32 13 98 0.99938 9.5
"670" "medium" 1 0.34 0.45 6 15 0.9988 9.2
"1156" "medium" 1 0.6 0.25 9 38 0.99616 9.8
"2275" "medium" 0 0.28 0.25 44 201 0.9955 9.1
"974" "medium" 1 0.34 0.44 6 12 0.99605 10.7
